GENE_ID	GEUVADIS	IN_GENCODE	CHR	LEFT	TSS	RIGHT	DIRECTION
ENSG00000049089	ENSG00000049089.9	TRUE	chr1	39783485	40783485	41783485	-
ENSG00000049239	ENSG00000049239.7	TRUE	chr1	8294833	9294833	10294833	+
ENSG00000049245	ENSG00000049245.8	TRUE	chr1	6831356	7831356	8831356	+
ENSG00000049246	ENSG00000049246.8	TRUE	chr1	6844351	7844351	8844351	+
ENSG00000049247	ENSG00000049247.8	TRUE	chr1	6913572	7913572	8913572	-
ENSG00000049249	ENSG00000049249.4	TRUE	chr1	7003225	8003225	9003225	-
ENSG00000052723	ENSG00000052723.7	TRUE	chr1	114323306	115323306	116323306	-
ENSG00000053371	ENSG00000053371.8	TRUE	chr1	18638638	19638638	20638638	-
ENSG00000053372	ENSG00000053372.4	TRUE	chr1	18578299	19578299	20578299	+
ENSG00000054116	ENSG00000054116.7	TRUE	chr1	35621654	36621654	37621654	-
ENSG00000054118	ENSG00000054118.9	TRUE	chr1	35690033	36690033	37690033	+
ENSG00000054267	ENSG00000054267.15	TRUE	chr1	234491534	235491534	236491534	-
ENSG00000054277	ENSG00000054277.8	TRUE	chr1	240840678	241840678	242840678	-
ENSG00000054282	ENSG00000054282.10	TRUE	chr1	242419336	243419336	244419336	+
ENSG00000054392	ENSG00000054392.8	TRUE	chr1	209501596	210501596	211501596	+
ENSG00000054523	ENSG00000054523.11	TRUE	chr1	9270628	10270628	11270628	+
ENSG00000055070	ENSG00000055070.11	TRUE	chr1	15679070	16679070	17679070	+
ENSG00000055732	ENSG00000055732.7	TRUE	chr1	84514183	85514183	86514183	-
ENSG00000057252	ENSG00000057252.8	TRUE	chr1	178262849	179262849	180262849	+
ENSG00000057468	ENSG00000057468.6	TRUE	chr1	75262567	76262567	77262567	+
ENSG00000057757	ENSG00000057757.5	TRUE	chr1	23104908	24104908	25104908	+
ENSG00000058085	ENSG00000058085.9	TRUE	chr1	182155373	183155373	184155373	+
ENSG00000058453	ENSG00000058453.11	TRUE	chr1	16066768	17066768	18066768	+
ENSG00000058668	ENSG00000058668.10	TRUE	chr1	202595915	203595915	204595915	+
ENSG00000058673	ENSG00000058673.10	TRUE	chr1	202764751	203764751	204764751	+
ENSG00000058799	ENSG00000058799.8	TRUE	chr1	53355471	54355471	55355471	-
ENSG00000058804	ENSG00000058804.9	TRUE	chr1	53304136	54304136	55304136	-
ENSG00000059588	ENSG00000059588.5	TRUE	chr1	233614925	234614925	235614925	-
ENSG00000060642	ENSG00000060642.6	TRUE	chr1	26113545	27113545	28113545	+
ENSG00000060656	ENSG00000060656.14	TRUE	chr1	28563028	29563028	30563028	+
ENSG00000060688	ENSG00000060688.8	TRUE	chr1	30769635	31769635	32769635	-
ENSG00000064703	ENSG00000064703.7	TRUE	chr1	111297454	112297454	113297454	+
ENSG00000064886	ENSG00000064886.8	TRUE	chr1	110743393	111743393	112743393	+
ENSG00000065135	ENSG00000065135.7	TRUE	chr1	109091237	110091237	111091237	+
ENSG00000065183	ENSG00000065183.10	TRUE	chr1	117472343	118472343	119472343	+
ENSG00000065243	ENSG00000065243.13	TRUE	chr1	88149905	89149905	90149905	+
ENSG00000065526	ENSG00000065526.5	TRUE	chr1	15162590	16162590	17162590	+
ENSG00000065600	ENSG00000065600.8	TRUE	chr1	211588243	212588243	213588243	-
ENSG00000065978	ENSG00000065978.12	TRUE	chr1	42148089	43148089	44148089	+
ENSG00000066027	ENSG00000066027.4	TRUE	chr1	211458752	212458752	213458752	+
ENSG00000066056	ENSG00000066056.7	TRUE	chr1	42766653	43766653	44766653	+
ENSG00000066135	ENSG00000066135.8	TRUE	chr1	43115820	44115820	45115820	+
ENSG00000066136	ENSG00000066136.13	TRUE	chr1	40157320	41157320	42157320	+
ENSG00000066185	ENSG00000066185.8	TRUE	chr1	41921924	42921924	43921924	-
ENSG00000066279	ENSG00000066279.11	TRUE	chr1	196115824	197115824	198115824	-
ENSG00000066294	ENSG00000066294.10	TRUE	chr1	159549306	160549306	161549306	-
ENSG00000066322	ENSG00000066322.7	TRUE	chr1	42833745	43833745	44833745	-
ENSG00000066557	ENSG00000066557.5	TRUE	chr1	69671262	70671262	71671262	-
ENSG00000067208	ENSG00000067208.8	TRUE	chr1	92257961	93257961	94257961	-
ENSG00000067334	ENSG00000067334.8	TRUE	chr1	93345474	94345474	95345474	-
ENSG00000067533	ENSG00000067533.5	TRUE	chr1	217458635	218458635	219458635	+
ENSG00000067606	ENSG00000067606.11	TRUE	chr1	981850	1981850	2981850	+
ENSG00000067704	ENSG00000067704.8	TRUE	chr1	219267474	220267474	221267474	+
ENSG00000069248	ENSG00000069248.7	TRUE	chr1	228644088	229644088	230644088	-
ENSG00000069275	ENSG00000069275.11	TRUE	chr1	204719310	205719310	206719310	-
ENSG00000069424	ENSG00000069424.8	TRUE	chr1	5050987	6050987	7050987	+
ENSG00000069702	ENSG00000069702.6	TRUE	chr1	91371892	92371892	93371892	-
ENSG00000069812	ENSG00000069812.7	TRUE	chr1	5484730	6484730	7484730	-
ENSG00000070759	ENSG00000070759.11	TRUE	chr1	44956835	45956835	46956835	-
ENSG00000070785	ENSG00000070785.12	TRUE	chr1	44452394	45452394	46452394	-
ENSG00000070831	ENSG00000070831.11	TRUE	chr1	21352004	22352004	23352004	+
ENSG00000072694	ENSG00000072694.13	TRUE	chr1	160632937	161632937	162632937	+
ENSG00000073756	ENSG00000073756.7	TRUE	chr1	185650054	186650054	187650054	-
ENSG00000074800	ENSG00000074800.8	TRUE	chr1	7939249	8939249	9939249	-
ENSG00000074964	ENSG00000074964.11	TRUE	chr1	16866193	17866193	18866193	+
ENSG00000075151	ENSG00000075151.13	TRUE	chr1	20503381	21503381	22503381	-
ENSG00000075391	ENSG00000075391.11	TRUE	chr1	177063239	178063239	179063239	+
ENSG00000075945	ENSG00000075945.8	TRUE	chr1	169054349	170054349	171054349	-
ENSG00000076258	ENSG00000076258.5	TRUE	chr1	170283322	171283322	172283322	+
ENSG00000076321	ENSG00000076321.6	TRUE	chr1	172684080	173684080	174684080	+
ENSG00000076356	ENSG00000076356.6	TRUE	chr1	207417729	208417729	209417729	-
ENSG00000076864	ENSG00000076864.12	TRUE	chr1	20995856	21995856	22995856	-
ENSG00000077152	ENSG00000077152.5	TRUE	chr1	201311108	202311108	203311108	-
ENSG00000077157	ENSG00000077157.15	TRUE	chr1	201317827	202317827	203317827	+
ENSG00000077254	ENSG00000077254.10	TRUE	chr1	77225537	78225537	79225537	-
ENSG00000077549	ENSG00000077549.11	TRUE	chr1	18812033	19812033	20812033	-
ENSG00000077585	ENSG00000077585.8	TRUE	chr1	235305805	236305805	237305805	+
ENSG00000078369	ENSG00000078369.9	TRUE	chr1	822556	1822556	2822556	-
ENSG00000078618	ENSG00000078618.13	TRUE	chr1	51344609	52344609	53344609	-
ENSG00000078808	ENSG00000078808.11	TRUE	chr1	167447	1167447	2167447	-
ENSG00000078900	ENSG00000078900.9	TRUE	chr1	2569080	3569080	4569080	+
ENSG00000079277	ENSG00000079277.14	TRUE	chr1	46082515	47082515	48082515	-
ENSG00000079335	ENSG00000079335.13	TRUE	chr1	99810557	100810557	101810557	+
ENSG00000079739	ENSG00000079739.9	TRUE	chr1	63059082	64059082	65059082	+
ENSG00000080947	ENSG00000080947.9	TRUE	chr1	15825752	16825752	17825752	-
ENSG00000081019	ENSG00000081019.9	TRUE	chr1	113355098	114355098	115355098	-
ENSG00000081026	ENSG00000081026.13	TRUE	chr1	112933137	113933137	114933137	+
ENSG00000081237	ENSG00000081237.12	TRUE	chr1	197607587	198607587	199607587	+
ENSG00000081692	ENSG00000081692.7	TRUE	chr1	226923112	227923112	228923112	-
ENSG00000081721	ENSG00000081721.6	TRUE	chr1	160719548	161719548	162719548	+
ENSG00000081870	ENSG00000081870.6	TRUE	chr1	53411372	54411372	55411372	-
ENSG00000081985	ENSG00000081985.6	TRUE	chr1	66773047	67773047	68773047	+
ENSG00000082512	ENSG00000082512.10	TRUE	chr1	210499957	211499957	212499957	+
ENSG00000083444	ENSG00000083444.10	TRUE	chr1	10994262	11994262	12994262	+
ENSG00000084070	ENSG00000084070.6	TRUE	chr1	39810522	40810522	41810522	+
ENSG00000084072	ENSG00000084072.12	TRUE	chr1	39157854	40157854	41157854	+
ENSG00000084073	ENSG00000084073.4	TRUE	chr1	39723713	40723713	41723713	+
ENSG00000084623	ENSG00000084623.7	TRUE	chr1	31686678	32686678	33686678	+
ENSG00000084636	ENSG00000084636.11	TRUE	chr1	31169920	32169920	33169920	-
ENSG00000084652	ENSG00000084652.10	TRUE	chr1	31645276	32645276	33645276	+
ENSG00000085433	ENSG00000085433.11	TRUE	chr1	108584735	109584735	110584735	-
ENSG00000085465	ENSG00000085465.10	TRUE	chr1	110970357	111970357	112970357	-
ENSG00000085491	ENSG00000085491.11	TRUE	chr1	107743471	108743471	109743471	-
ENSG00000085552	ENSG00000085552.11	TRUE	chr1	158915403	159915403	160915403	-
ENSG00000085831	ENSG00000085831.11	TRUE	chr1	50810788	51810788	52810788	-
ENSG00000085832	ENSG00000085832.12	TRUE	chr1	50984938	51984938	52984938	-
ENSG00000085840	ENSG00000085840.7	TRUE	chr1	51870095	52870095	53870095	-
ENSG00000085998	ENSG00000085998.9	TRUE	chr1	45685977	46685977	47685977	-
ENSG00000085999	ENSG00000085999.6	TRUE	chr1	45712133	46712133	47712133	+
ENSG00000086015	ENSG00000086015.13	TRUE	chr1	45252659	46252659	47252659	+
ENSG00000086619	ENSG00000086619.9	TRUE	chr1	235445258	236445258	237445258	-
ENSG00000088035	ENSG00000088035.8	TRUE	chr1	62833246	63833246	64833246	+
ENSG00000088280	ENSG00000088280.11	TRUE	chr1	22811061	23811061	24811061	-
ENSG00000090020	ENSG00000090020.5	TRUE	chr1	26493472	27493472	28493472	-
ENSG00000090104	ENSG00000090104.6	TRUE	chr1	191544893	192544893	193544893	+
ENSG00000090273	ENSG00000090273.8	TRUE	chr1	26226729	27226729	28226729	+
ENSG00000090432	ENSG00000090432.5	TRUE	chr1	19834644	20834644	21834644	-
ENSG00000090621	ENSG00000090621.8	TRUE	chr1	39042462	40042462	41042462	-
ENSG00000090686	ENSG00000090686.11	TRUE	chr1	21110099	22110099	23110099	-
ENSG00000091483	ENSG00000091483.6	TRUE	chr1	240683099	241683099	242683099	-
ENSG00000092607	ENSG00000092607.8	TRUE	chr1	118532179	119532179	120532179	-
ENSG00000092621	ENSG00000092621.6	TRUE	chr1	119191034	120191034	121191034	+
ENSG00000092847	ENSG00000092847.6	TRUE	chr1	35335409	36335409	37335409	+
ENSG00000092850	ENSG00000092850.7	TRUE	chr1	35549695	36549695	37549695	+
ENSG00000092853	ENSG00000092853.8	TRUE	chr1	35235579	36235579	37235579	-
ENSG00000092969	ENSG00000092969.7	TRUE	chr1	217518678	218518678	219518678	+
ENSG00000092978	ENSG00000092978.5	TRUE	chr1	216804432	217804432	218804432	-
ENSG00000094975	ENSG00000094975.8	TRUE	chr1	171501489	172501489	173501489	+
ENSG00000097021	ENSG00000097021.14	TRUE	chr1	5453827	6453827	7453827	-
ENSG00000097033	ENSG00000097033.9	TRUE	chr1	86170253	87170253	88170253	+
ENSG00000097046	ENSG00000097046.7	TRUE	chr1	90966408	91966408	92966408	+
ENSG00000097096	ENSG00000097096.8	TRUE	chr1	84666699	85666699	86666699	-
ENSG00000107404	ENSG00000107404.12	TRUE	chr1	284798	1284798	2284798	-
ENSG00000116128	ENSG00000116128.5	TRUE	chr1	146013271	147013271	148013271	+
ENSG00000116132	ENSG00000116132.7	TRUE	chr1	169631869	170631869	171631869	+
ENSG00000116133	ENSG00000116133.6	TRUE	chr1	54352868	55352868	56352868	-
ENSG00000116138	ENSG00000116138.7	TRUE	chr1	14853308	15853308	16853308	+
ENSG00000116141	ENSG00000116141.10	TRUE	chr1	219701478	220701478	221701478	+
ENSG00000116151	ENSG00000116151.8	TRUE	chr1	1323146	2323146	3323146	-
ENSG00000116157	ENSG00000116157.5	TRUE	chr1	52068043	53068043	54068043	+
ENSG00000116161	ENSG00000116161.12	TRUE	chr1	173968300	174968300	175968300	+
ENSG00000116171	ENSG00000116171.11	TRUE	chr1	52392948	53392948	54392948	+
ENSG00000116183	ENSG00000116183.6	TRUE	chr1	175432307	176432307	177432307	+
ENSG00000116191	ENSG00000116191.11	TRUE	chr1	177694282	178694282	179694282	+
ENSG00000116194	ENSG00000116194.7	TRUE	chr1	177840212	178840212	179840212	-
ENSG00000116198	ENSG00000116198.8	TRUE	chr1	2773960	3773960	4773960	-
ENSG00000116199	ENSG00000116199.7	TRUE	chr1	177994939	178994939	179994939	+
ENSG00000116205	ENSG00000116205.6	TRUE	chr1	53519257	54519257	55519257	+
ENSG00000116209	ENSG00000116209.6	TRUE	chr1	53519177	54519177	55519177	-
ENSG00000116212	ENSG00000116212.10	TRUE	chr1	53411758	54411758	55411758	+
ENSG00000116213	ENSG00000116213.10	TRUE	chr1	2569325	3569325	4569325	-
ENSG00000116221	ENSG00000116221.9	TRUE	chr1	53649714	54649714	55649714	+
ENSG00000116237	ENSG00000116237.9	TRUE	chr1	5296032	6296032	7296032	-
ENSG00000116251	ENSG00000116251.5	TRUE	chr1	5269449	6269449	7269449	-
ENSG00000116254	ENSG00000116254.11	TRUE	chr1	5240381	6240381	7240381	-
ENSG00000116260	ENSG00000116260.12	TRUE	chr1	179124004	180124004	181124004	+
ENSG00000116266	ENSG00000116266.6	TRUE	chr1	108289296	109289296	110289296	+
ENSG00000116273	ENSG00000116273.5	TRUE	chr1	5673791	6673791	7673791	+
ENSG00000116285	ENSG00000116285.8	TRUE	chr1	7086369	8086369	9086369	-
ENSG00000116288	ENSG00000116288.8	TRUE	chr1	7014351	8014351	9014351	+
ENSG00000116299	ENSG00000116299.11	TRUE	chr1	108656301	109656301	110656301	+
ENSG00000116337	ENSG00000116337.11	TRUE	chr1	109158726	110158726	111158726	+
ENSG00000116350	ENSG00000116350.9	TRUE	chr1	28508412	29508412	30508412	-
ENSG00000116353	ENSG00000116353.8	TRUE	chr1	28557454	29557454	30557454	-
ENSG00000116396	ENSG00000116396.9	TRUE	chr1	109752936	110752936	111752936	+
ENSG00000116406	ENSG00000116406.13	TRUE	chr1	183724041	184724041	185724041	-
ENSG00000116455	ENSG00000116455.9	TRUE	chr1	110991878	111991878	112991878	-
ENSG00000116459	ENSG00000116459.6	TRUE	chr1	110991486	111991486	112991486	+
ENSG00000116473	ENSG00000116473.10	TRUE	chr1	111084840	112084840	113084840	+
ENSG00000116478	ENSG00000116478.7	TRUE	chr1	31757684	32757684	33757684	+
ENSG00000116489	ENSG00000116489.8	TRUE	chr1	112162427	113162427	114162427	+
ENSG00000116497	ENSG00000116497.13	TRUE	chr1	32282368	33282368	34282368	+
ENSG00000116514	ENSG00000116514.11	TRUE	chr1	32430410	33430410	34430410	-
ENSG00000116521	ENSG00000116521.6	TRUE	chr1	154232221	155232221	156232221	-
ENSG00000116525	ENSG00000116525.7	TRUE	chr1	32647660	33647660	34647660	-
ENSG00000116539	ENSG00000116539.6	TRUE	chr1	154532953	155532953	156532953	-
ENSG00000116544	ENSG00000116544.6	TRUE	chr1	34395251	35395251	36395251	-
ENSG00000116560	ENSG00000116560.6	TRUE	chr1	34658746	35658746	36658746	-
ENSG00000116574	ENSG00000116574.4	TRUE	chr1	227871226	228871226	229871226	+
ENSG00000116580	ENSG00000116580.12	TRUE	chr1	154829191	155829191	156829191	-
ENSG00000116584	ENSG00000116584.10	TRUE	chr1	154976861	155976861	156976861	-
ENSG00000116586	ENSG00000116586.7	TRUE	chr1	155024573	156024573	157024573	+
ENSG00000116604	ENSG00000116604.11	TRUE	chr1	155470571	156470571	157470571	-
ENSG00000116641	ENSG00000116641.10	TRUE	chr1	62154057	63154057	64154057	-
ENSG00000116649	ENSG00000116649.4	TRUE	chr1	10120077	11120077	12120077	-
ENSG00000116652	ENSG00000116652.4	TRUE	chr1	63012753	64012753	65012753	+
ENSG00000116661	ENSG00000116661.8	TRUE	chr1	10715842	11715842	12715842	-
ENSG00000116663	ENSG00000116663.6	TRUE	chr1	10724257	11724257	12724257	+
ENSG00000116667	ENSG00000116667.7	TRUE	chr1	183356163	184356163	185356163	+
ENSG00000116668	ENSG00000116668.8	TRUE	chr1	184126212	185126212	186126212	+
ENSG00000116670	ENSG00000116670.9	TRUE	chr1	10751707	11751707	12751707	-
ENSG00000116675	ENSG00000116675.10	TRUE	chr1	64713902	65713902	66713902	+
ENSG00000116678	ENSG00000116678.14	TRUE	chr1	64886335	65886335	66886335	+
ENSG00000116679	ENSG00000116679.11	TRUE	chr1	184286405	185286405	186286405	-
ENSG00000116685	ENSG00000116685.11	TRUE	chr1	10986485	11986485	12986485	-
ENSG00000116688	ENSG00000116688.10	TRUE	chr1	11040238	12040238	13040238	+
ENSG00000116690	ENSG00000116690.7	TRUE	chr1	185265411	186265411	187265411	+
ENSG00000116691	ENSG00000116691.6	TRUE	chr1	11079523	12079523	13079523	+
ENSG00000116698	ENSG00000116698.16	TRUE	chr1	182441351	183441351	184441351	+
ENSG00000116701	ENSG00000116701.9	TRUE	chr1	182560011	183560011	184560011	-
ENSG00000116703	ENSG00000116703.12	TRUE	chr1	185430246	186430246	187430246	-
ENSG00000116704	ENSG00000116704.6	TRUE	chr1	66519831	67519831	68519831	-
ENSG00000116711	ENSG00000116711.7	TRUE	chr1	185798081	186798081	187798081	+
ENSG00000116717	ENSG00000116717.7	TRUE	chr1	67150884	68150884	69150884	+
ENSG00000116729	ENSG00000116729.9	TRUE	chr1	67698803	68698803	69698803	-
ENSG00000116731	ENSG00000116731.15	TRUE	chr1	13026693	14026693	15026693	+
ENSG00000116741	ENSG00000116741.6	TRUE	chr1	191778169	192778169	193778169	+
ENSG00000116747	ENSG00000116747.8	TRUE	chr1	192028584	193028584	194028584	+
ENSG00000116748	ENSG00000116748.14	TRUE	chr1	114238239	115238239	116238239	-
ENSG00000116750	ENSG00000116750.7	TRUE	chr1	192029210	193029210	194029210	-
ENSG00000116752	ENSG00000116752.5	TRUE	chr1	114124250	115124250	116124250	-
ENSG00000116754	ENSG00000116754.9	TRUE	chr1	69671365	70671365	71671365	+
ENSG00000116761	ENSG00000116761.7	TRUE	chr1	69876901	70876901	71876901	+
ENSG00000116771	ENSG00000116771.5	TRUE	chr1	14911546	15911546	16911546	-
ENSG00000116783	ENSG00000116783.9	TRUE	chr1	73701071	74701071	75701071	+
ENSG00000116786	ENSG00000116786.7	TRUE	chr1	15010815	16010815	17010815	+
ENSG00000116791	ENSG00000116791.9	TRUE	chr1	74199092	75199092	76199092	-
ENSG00000116793	ENSG00000116793.10	TRUE	chr1	113302111	114302111	115302111	-
ENSG00000116809	ENSG00000116809.6	TRUE	chr1	15302627	16302627	17302627	-
ENSG00000116815	ENSG00000116815.11	TRUE	chr1	116113661	117113661	118113661	-
ENSG00000116819	ENSG00000116819.6	TRUE	chr1	35038915	36038915	37038915	+
ENSG00000116824	ENSG00000116824.4	TRUE	chr1	116297052	117297052	118297052	+
ENSG00000116830	ENSG00000116830.5	TRUE	chr1	116602948	117602948	118602948	+
ENSG00000116833	ENSG00000116833.8	TRUE	chr1	198996742	199996742	200996742	+
ENSG00000116852	ENSG00000116852.8	TRUE	chr1	199992842	200992842	201992842	-
ENSG00000116857	ENSG00000116857.11	TRUE	chr1	200140702	201140702	202140702	-
ENSG00000116863	ENSG00000116863.8	TRUE	chr1	35554493	36554493	37554493	+
ENSG00000116871	ENSG00000116871.10	TRUE	chr1	35621180	36621180	37621180	+
ENSG00000116874	ENSG00000116874.7	TRUE	chr1	118683277	119683277	120683277	-
ENSG00000116885	ENSG00000116885.14	TRUE	chr1	35916052	36916052	37916052	-
ENSG00000116898	ENSG00000116898.7	TRUE	chr1	35929985	36929985	37929985	-
ENSG00000116903	ENSG00000116903.6	TRUE	chr1	230473598	231473598	232473598	-
ENSG00000116906	ENSG00000116906.7	TRUE	chr1	230376953	231376953	232376953	+
ENSG00000116918	ENSG00000116918.8	TRUE	chr1	230664287	231664287	232664287	+
ENSG00000116922	ENSG00000116922.9	TRUE	chr1	37157921	38157921	39157921	-
ENSG00000116954	ENSG00000116954.7	TRUE	chr1	38325444	39325444	40325444	-
ENSG00000116962	ENSG00000116962.10	TRUE	chr1	235228409	236228409	237228409	-
ENSG00000116977	ENSG00000116977.13	TRUE	chr1	235681300	236681300	237681300	+
ENSG00000116981	ENSG00000116981.3	TRUE	chr1	39137779	40137779	41137779	-
ENSG00000116983	ENSG00000116983.7	TRUE	chr1	39157157	40157157	41157157	-
ENSG00000116984	ENSG00000116984.7	TRUE	chr1	235958560	236958560	237958560	+
ENSG00000116985	ENSG00000116985.6	TRUE	chr1	39254537	40254537	41254537	-
ENSG00000116990	ENSG00000116990.9	TRUE	chr1	39367928	40367928	41367928	-
ENSG00000116991	ENSG00000116991.6	TRUE	chr1	231766317	232766317	233766317	-
ENSG00000117000	ENSG00000117000.6	TRUE	chr1	39627059	40627059	41627059	+
ENSG00000117009	ENSG00000117009.7	TRUE	chr1	240695434	241695434	242695434	+
ENSG00000117010	ENSG00000117010.11	TRUE	chr1	39997245	40997245	41997245	+
ENSG00000117013	ENSG00000117013.10	TRUE	chr1	40249459	41249459	42249459	+
ENSG00000117016	ENSG00000117016.5	TRUE	chr1	40131354	41131354	42131354	-
ENSG00000117020	ENSG00000117020.12	TRUE	chr1	243014381	244014381	245014381	-
ENSG00000117036	ENSG00000117036.7	TRUE	chr1	156108266	157108266	158108266	-
ENSG00000117054	ENSG00000117054.8	TRUE	chr1	75190116	76190116	77190116	+
ENSG00000117090	ENSG00000117090.8	TRUE	chr1	159617085	160617085	161617085	-
ENSG00000117091	ENSG00000117091.5	TRUE	chr1	159681621	160681621	161681621	-
ENSG00000117114	ENSG00000117114.14	TRUE	chr1	80771832	81771832	82771832	+
ENSG00000117115	ENSG00000117115.8	TRUE	chr1	16445946	17445946	18445946	-
ENSG00000117118	ENSG00000117118.5	TRUE	chr1	16380527	17380527	18380527	-
ENSG00000117133	ENSG00000117133.6	TRUE	chr1	83944942	84944942	85944942	+
ENSG00000117139	ENSG00000117139.10	TRUE	chr1	201777615	202777615	203777615	-
ENSG00000117143	ENSG00000117143.8	TRUE	chr1	161531296	162531296	163531296	+
ENSG00000117151	ENSG00000117151.7	TRUE	chr1	84040163	85040163	86040163	-
ENSG00000117153	ENSG00000117153.11	TRUE	chr1	201897764	202897764	203897764	-
ENSG00000117155	ENSG00000117155.10	TRUE	chr1	84156486	85156486	86156486	-
ENSG00000117174	ENSG00000117174.6	TRUE	chr1	85174116	86174116	87174116	-
ENSG00000117215	ENSG00000117215.10	TRUE	chr1	19446059	20446059	21446059	-
ENSG00000117222	ENSG00000117222.9	TRUE	chr1	204091143	205091143	206091143	-
ENSG00000117226	ENSG00000117226.7	TRUE	chr1	88488577	89488577	90488577	-
ENSG00000117228	ENSG00000117228.8	TRUE	chr1	88531043	89531043	90531043	-
ENSG00000117242	ENSG00000117242.7	TRUE	chr1	19978686	20978686	21978686	-
ENSG00000117245	ENSG00000117245.7	TRUE	chr1	20044510	21044510	22044510	-
ENSG00000117262	ENSG00000117262.14	TRUE	chr1	144827075	145827075	146827075	-
ENSG00000117266	ENSG00000117266.10	TRUE	chr1	204473724	205473724	206473724	+
ENSG00000117280	ENSG00000117280.8	TRUE	chr1	204744610	205744610	206744610	-
ENSG00000117281	ENSG00000117281.10	TRUE	chr1	144715614	145715614	146715614	-
ENSG00000117298	ENSG00000117298.10	TRUE	chr1	20672065	21672065	22672065	-
ENSG00000117305	ENSG00000117305.8	TRUE	chr1	23165110	24165110	25165110	-
ENSG00000117308	ENSG00000117308.9	TRUE	chr1	23127271	24127271	25127271	-
